code,label,unit,direction,description,source_id,min_value,max_value
rent_median,Alquiler mediano,EUR/m2/mes,lower_is_better,"Precio mediano del alquiler libre en vivienda colectiva según Serpavi.",mivau_serpavi,2.0,25.0
broadband_coverage,Cobertura de banda ancha,%,higher_is_better,"Porcentaje de viviendas con acceso a banda ancha fija de al menos 100 Mbps.",seteleco_broadband_maps,0.0,100.0
income_per_capita,Renta neta por persona,EUR,higher_is_better,"Renta neta anual por persona según el Atlas de Renta del INE.",ine_atlas_renta,5000.0,45000.0
services_score,Índice de servicios básicos,puntos,higher_is_better,"Índice sintético de servicios municipales (sanidad; educación; comercio).",miteco_reto_demografico_servicios,0.0,100.0
climate_comfort,Confort climático,puntos,higher_is_better,"Índice anual de confort térmico basado en horas en rango 18-26 ºC y precipitación.",aemet_opendata,0.0,100.0
population_total,Población residente,habitantes,higher_is_better,"Población residente total según el Padrón del INE (datos abiertos).",ine_datosabiertos,0.0,4000000.0
age_median,Edad mediana,años,lower_is_better,"Edad mediana de la población según microdatos demográficos del MITECO.",miteco_reto_demografico_demografia,20.0,60.0
household_size,Tamaño medio del hogar,personas,higher_is_better,"Personas por hogar según el Censo de Población y Viviendas del INE.",ine_datosabiertos,1.0,4.0
enterprise_density,Densidad empresarial,empresas/1000 hab,higher_is_better,"Empresas activas por cada 1.000 habitantes según DIRCE del INE.",ine_dirce,10.0,150.0
